CustomerID,FirstName,LastName,Email,Phone,SignUpDate,Location,Age,Gender,MaritalStatus,HasChildren,IncomeBracket,MemberStatus
36,Robert,Duffy,stuartstephanie@hotmail.com,+1-041-005-2278x459,01-10-2022,South Stevenville,20,Female,Married,TRUE,25000-35000,Pending
37,Mark,Larsen,christopher76@yahoo.com,(980)409-6878x037,25-08-2023,Danielchester,44,Male,Divorced,FALSE,25000-35000,Active
38,Lindsay,Gardner,cthomas@yahoo.com,161-439-4190,04-06-2024,Janettown,30,Female,Married,FALSE,25000-35000,Blocked
39,Mary,Petersen,walkermichael@gonzalez.biz,695-834-7027x54476,25-06-2024,Kaitlinburgh,28,Male,Married,TRUE,75000-100000,Pending
40,Richard,Thomas,joshuawilcox@wilson.com,765-849-9737x385,27-08-2020,Barnesmouth,26,Male,Single,TRUE,75000-100000,Active
41,Patricia,Collins,jacob20@hotmail.com,-3892,09-07-2020,Christinaton,37,Female,Married,TRUE,100000-150000,Merged
42,Kayla,Gilmore,zreed@bowman.net,+1-100-248-9913x748,01-10-2019,West Gabriel,40,Male,Divorced,TRUE,25000-35000,Audit
43,Adam,Myers,kathycastro@hotmail.com,(632)322-2057,24-08-2021,Craneborough,40,Female,Single,FALSE,50000-75000,Audit
44,Sandra,Jackson,rjackson@yahoo.com,5136824018,17-11-2023,Wyattmouth,70,Male,Married,TRUE,50000-75000,Audit
45,Maurice,Johnson,gonzalesadam@yahoo.com,057-842-9545,01-07-2021,Lopezchester,22,Female,Single,FALSE,75000-100000,Audit
46,Kelly,Johnson,youngmeghan@yahoo.com,420.347.6444x553,14-05-2021,Port Deborah,43,Female,Married,FALSE,35000-50000,Cancelled
47,Christopher,Horton,dawn35@yahoo.com,001-358-273-5929x335,08-12-2019,Port Ryan,22,Female,Divorced,TRUE,35000-50000,Merged
48,Samuel,Mitchell,burnettstephen@yahoo.com,491.215.6868x587,20-08-2020,New Conniehaven,23,Female,Divorced,FALSE,50000-75000,Pending
49,Angela,Zavala,wallsmark@gmail.com,-2859,04-05-2023,New Kim,61,Female,Divorced,FALSE,100000-150000,Pending
50,Sharon,Collins,ggonzales@gmail.com,(969)277-2375x532,24-05-2022,Pamview,20,Female,Married,TRUE,25000-35000,Merged
51,Crystal,Jones,nicolesummers@adams.org,529.850.1756,07-01-2022,Nicoleport,67,Female,Married,FALSE,75000-100000,Active
52,Michael,Morrison,brianrojas@hotmail.com,(354)704-8723,13-12-2019,East Dana,70,Female,Divorced,FALSE,25000-35000,Blocked
53,Joseph,Lee,flynch@gibson.net,290-545-3633x91846,25-01-2024,Herreramouth,47,Male,Divorced,FALSE,75000-100000,Active
54,Lisa,Taylor,butlerjoyce@hotmail.com,001-198-933-7348,28-10-2020,West Ellenborough,19,Male,Single,TRUE,25000-35000,Blocked
55,Christopher,Hester,fergusonconnie@english.com,(654)555-7076x354,17-10-2020,Christensenstad,27,Female,Married,TRUE,50000-75000,Blocked
56,Meredith,Fox,danielle77@gmail.com,735-127-8719x24482,03-03-2020,North Laura,64,Female,Divorced,FALSE,100000-150000,Blocked
57,Jeffrey,Watson,keithsmith@hotmail.com,9874902576,17-10-2020,Port Ericaborough,48,Male,Single,FALSE,25000-35000,Merged
58,Scott,Wade,ysanchez@gmail.com,001-880-152-3667x9257,13-04-2021,Jacobton,43,Female,Divorced,FALSE,100000-150000,Blocked
59,Antonio,Pierce,johnsutton@morris.com,(165)314-2384,07-07-2022,Port Donaldtown,26,Female,Married,TRUE,100000-150000,Audit
60,Catherine,Thomas,mclaughlinjames@gill.org,001-884-991-3969x234,05-12-2019,Lake Amber,40,Male,Divorced,FALSE,25000-35000,Active
61,Lindsey,Carroll,vschneider@grant.com,001-403-262-5996x61250,14-10-2021,North Nicole,22,Female,Divorced,TRUE,50000-75000,Cancelled
62,Taylor,Perry,sabrina32@gmail.com,855.536.0134,04-04-2022,New Jennifer,21,Male,Married,FALSE,35000-50000,Active
63,Amy,Sherman,michael07@morris.org,001-174-296-5308x444,18-05-2020,Meganside,69,Male,Married,FALSE,75000-100000,Cancelled
64,Scott,Vasquez,cassandralopez@yahoo.com,425.068.8875x8808,22-02-2021,Webbside,59,Female,Married,TRUE,75000-100000,Audit
65,Linda,Hicks,ahubbard@lozano.com,(876)816-5207x880,02-04-2024,Port Daniel,62,Female,Married,TRUE,25000-35000,Blocked
66,Sonya,Rodriguez,barbara21@yahoo.com,202-471-3185,18-03-2020,East Kevin,28,Male,Single,TRUE,25000-35000,Blocked
67,Lori,Williams,robertsondavid@combs.com,001-837-447-6562x348,14-06-2023,Katherineville,23,Female,Divorced,FALSE,50000-75000,Merged
68,Deanna,Gillespie,hooverlaura@hendricks-thompson.com,114.226.5470,02-05-2022,Port Rachel,38,Male,Single,TRUE,50000-75000,Active
69,Tamara,Black,stonerobert@gmail.com,176.113.8502,02-01-2024,Annahaven,38,Female,Divorced,FALSE,50000-75000,Pending
70,Jonathan,Lowery,ronaldgates@yahoo.com,744.161.1005,23-01-2023,North Bobbyland,45,Male,Divorced,FALSE,50000-75000,Blocked
71,Stephanie,Martin,ksnyder@gmail.com,217.241.4304x3841,14-03-2024,Davidside,42,Female,Divorced,TRUE,50000-75000,Merged
72,Tanya,Lewis,cookbrian@dunlap.net,001-622-278-8428x71549,10-01-2021,Port Marthamouth,70,Male,Married,FALSE,75000-100000,Blocked
73,Brian,Pierce,kanderson@beard.info,386-453-9695x40140,13-10-2021,South Jonathan,26,Male,Divorced,TRUE,25000-35000,Pending
74,Michele,Williams,obrienkristina@johnson.com,507.928.7603,09-06-2024,Josephport,29,Male,Married,TRUE,35000-50000,Active
75,Rhonda,Lin,xmclaughlin@smith.com,925-981-6632x781,22-11-2022,North Gregory,62,Male,Married,FALSE,25000-35000,Active
76,Maurice,Mccann,vaughnalicia@yahoo.com,268.794.0545x164,27-04-2024,West Elaineland,56,Male,Divorced,TRUE,35000-50000,Cancelled
77,Robert,Sullivan,dwaters@johnson.com,844.697.9434,26-05-2021,Sanchezfort,20,Female,Divorced,FALSE,25000-35000,Active
78,Gary,Miller,garyjohnson@phillips.biz,414-056-0516,27-12-2019,Brianmouth,28,Male,Married,FALSE,100000-150000,Merged
79,Stephanie,Juarez,porterjames@yahoo.com,500-794-1026x26997,28-01-2023,Gomezstad,69,Female,Single,FALSE,25000-35000,Pending
80,George,Reynolds,pennypratt@hotmail.com,(196)573-8530,05-12-2022,Lake Amandatown,21,Female,Single,FALSE,35000-50000,Blocked
81,Robert,Hernandez,phillipsbianca@hotmail.com,+1-298-686-9427x56275,05-03-2023,Noahborough,69,Male,Married,FALSE,25000-35000,Pending
82,John,Fuentes,kurtgutierrez@gmail.com,974.986.9624x6693,28-02-2024,Tammyton,66,Male,Divorced,FALSE,50000-75000,Cancelled
83,Eric,Olson,nbray@gmail.com,197-248-6005,30-04-2020,Brookemouth,49,Female,Single,FALSE,35000-50000,Blocked
84,Paul,Clark,lori52@allen.info,001-227-938-1954x8158,27-03-2023,Velezbury,43,Female,Divorced,FALSE,25000-35000,Cancelled
85,Austin,Boyd,michaelchapman@hotmail.com,493-006-2666x3408,01-10-2023,South Sethberg,35,Male,Married,FALSE,50000-75000,Cancelled
86,Suzanne,Lee,jenniferhawkins@carroll-butler.info,209-494-3106,09-11-2021,Robertsstad,48,Female,Divorced,FALSE,75000-100000,Audit
87,Laura,Williams,ningram@yahoo.com,001-860-067-0259x21580,04-04-2022,Clarkstad,69,Female,Married,FALSE,35000-50000,Audit
88,Anna,Freeman,meghan06@yahoo.com,001-180-120-7378x82222,23-03-2022,Port Taylor,42,Male,Married,TRUE,50000-75000,Cancelled
89,Alexis,Watson,andersonjason@gmail.com,890-274-4961x878,23-05-2022,Lake Beth,41,Male,Married,TRUE,75000-100000,Audit
90,Alexis,Flores,clinemorgan@gmail.com,567.649.4703,23-06-2020,Millsborough,63,Male,Divorced,TRUE,25000-35000,Active
91,Jacob,Powers,shanemoore@yahoo.com,085-538-0091x84971,25-10-2020,Davidborough,22,Female,Married,FALSE,35000-50000,Merged
92,Erik,Tran,ehall@hotmail.com,+1-312-494-5825x93044,24-08-2023,Troytown,21,Female,Divorced,FALSE,100000-150000,Cancelled
93,Gabriela,Garcia,zhunt@harris-lucas.com,320.116.5079x249,28-08-2022,Myersshire,52,Female,Divorced,FALSE,25000-35000,Merged
94,Benjamin,Watkins,shannonshelton@hotmail.com,(735)584-4082,07-02-2020,South Williamland,50,Male,Divorced,TRUE,25000-35000,Merged
95,Matthew,Garza,kaylapayne@joyce-fields.com,860.395.8801,10-04-2022,North Meganburgh,32,Male,Married,TRUE,75000-100000,Merged
96,Thomas,Sanders,mossderrick@nelson-foley.com,001-867-640-6485x72031,04-04-2023,Joelmouth,64,Male,Married,TRUE,75000-100000,Merged
97,Alexa,Stone,dianekent@reed.com,(202)563-8018x681,14-09-2020,West Hollyland,31,Female,Single,TRUE,50000-75000,Audit
98,Adam,Duncan,ann86@hotmail.com,+1-669-351-0741x0926,07-05-2020,Bridgestown,19,Female,Divorced,FALSE,100000-150000,Pending
99,Gregory,Higgins,mark43@gmail.com,+1-030-553-0483x743,23-02-2020,South Sheila,69,Male,Married,TRUE,50000-75000,Pending
100,Brandon,Boyer,christophercampbell@yahoo.com,742.247.3383,27-11-2022,Travisstad,69,Male,Divorced,TRUE,100000-150000,Cancelled
101,David,Conley,thammond@gmail.com,545-429-8838x34217,22-06-2023,Burkeborough,55,Female,Divorced,FALSE,35000-50000,Active
102,Janet,Garcia,richard53@hotmail.com,+1-100-380-8973x90442,08-10-2022,Troychester,38,Male,Married,TRUE,35000-50000,Blocked
103,April,Williams,xvazquez@yahoo.com,(510)784-3293x699,16-06-2022,Bakerton,61,Male,Single,TRUE,50000-75000,Pending
104,William,Aguilar,ufuller@yahoo.com,(371)469-8870,06-02-2023,Latashaborough,38,Male,Married,FALSE,50000-75000,Merged
105,Laura,Crawford,cassandra20@yahoo.com,269-100-9143x1623,21-09-2023,North Julie,52,Male,Married,TRUE,25000-35000,Active
106,Theodore,King,karenkane@yahoo.com,656.600.0605x883,24-08-2019,East Janefurt,49,Female,Single,FALSE,75000-100000,Audit
107,Karen,Shea,jennifer31@gmail.com,+1-550-614-3003x4325,29-08-2023,Frankhaven,60,Male,Divorced,FALSE,75000-100000,Active
108,Mark,Kim,sullivanbrianna@robinson.org,931.961.7041x45846,01-06-2022,Taylorborough,19,Female,Single,TRUE,100000-150000,Cancelled
109,Maria,Cuevas,kristinafrank@yahoo.com,756-335-4644,19-06-2022,Briannafort,70,Female,Married,FALSE,75000-100000,Merged
110,Wayne,Gordon,thompsonsheila@gmail.com,6688304041,10-01-2022,Christinaland,39,Male,Married,FALSE,50000-75000,Merged
111,Shelley,Collins,jose83@keith-frey.info,558-994-7615x1050,23-09-2019,New Kevinshire,37,Female,Married,TRUE,100000-150000,Pending
112,Jeffrey,Estrada,mclaughlinbrandon@manning.com,(121)543-0417,13-05-2020,West Madisonbury,23,Female,Married,TRUE,25000-35000,Cancelled
113,Nicole,Kelley,williamleonard@hotmail.com,227-515-0367,27-02-2020,Port Sergio,40,Female,Married,TRUE,25000-35000,Merged
114,Miguel,Edwards,chavezjason@arias-morales.com,(372)278-8947x40201,01-10-2023,Davidshire,28,Male,Single,FALSE,35000-50000,Audit
115,Christine,Nelson,lisa66@white.com,9045311244,30-10-2021,North Stephanieport,64,Female,Married,FALSE,100000-150000,Active
116,Michaela,Hutchinson,nathanharper@gmail.com,+1-290-531-5185x00027,25-04-2022,Catherineborough,68,Male,Married,FALSE,35000-50000,Cancelled
117,David,Hall,alane@yahoo.com,+1-293-746-3595x5257,13-06-2023,West Evanhaven,48,Male,Married,TRUE,25000-35000,Active
118,Melanie,Hardin,williamsjill@hotmail.com,726.557.7185x4647,01-10-2022,Steventon,45,Female,Married,TRUE,25000-35000,Cancelled
119,Kelly,Patel,henryruiz@yahoo.com,(565)209-1487x42751,10-11-2019,South David,70,Male,Single,FALSE,100000-150000,Pending
120,Kevin,Meyer,goodmancurtis@arnold.com,855-409-4240x4923,11-03-2022,Lake Antonio,33,Male,Single,TRUE,100000-150000,Cancelled
121,Emily,Medina,davisrichard@buckley-daniels.com,925.548.3305,14-01-2023,New Kevin,61,Male,Married,FALSE,50000-75000,Pending
122,Stacy,Santiago,turneralan@yahoo.com,640.231.2264,10-10-2019,New Peterburgh,24,Female,Single,FALSE,75000-100000,Blocked
123,Michael,Diaz,jacob89@wall.com,1244381331,09-07-2022,Amandaland,48,Male,Married,FALSE,35000-50000,Pending
124,Sean,Montoya,marcusjohnson@perez-hahn.info,001-884-562-1915x6962,27-01-2020,East Stephen,59,Female,Divorced,TRUE,100000-150000,Active
125,Shaun,Coffey,davispatrick@bean-poole.com,001-670-738-1794x5610,08-06-2022,South Chelsea,66,Male,Single,FALSE,100000-150000,Cancelled
126,Zachary,Mason,jamesflores@schwartz.net,883-430-2122x424,01-12-2019,Lowetown,32,Female,Married,FALSE,50000-75000,Active
127,Jennifer,Clark,mcompton@yahoo.com,001-307-764-6464,27-11-2023,Bowmanside,31,Male,Single,FALSE,75000-100000,Blocked
128,Andrew,Lindsey,william33@yahoo.com,7072286559,27-06-2024,Lake Richardhaven,24,Female,Single,FALSE,50000-75000,Pending
129,Michael,Salazar,cheryljohnson@yahoo.com,647-539-3686x0080,21-02-2022,Conwayhaven,34,Male,Divorced,FALSE,50000-75000,Audit
130,Chelsea,Lopez,karen01@gmail.com,581.310.9822,22-08-2019,Lake Williamberg,44,Female,Married,FALSE,35000-50000,Audit
131,Jenny,Carter,huntercastro@gmail.com,+1-437-475-7748x2624,22-06-2021,Lyonsberg,42,Female,Single,TRUE,100000-150000,Merged
132,Ryan,Hart,michael81@hotmail.com,609-781-0027x592,01-11-2020,North Mariaview,25,Male,Divorced,FALSE,50000-75000,Cancelled
133,Kimberly,Lewis,floydjames@hernandez.com,001-165-794-4624,21-10-2020,Millerland,66,Male,Divorced,FALSE,100000-150000,Audit
134,Mary,Robertson,trodriguez@yahoo.com,(623)835-3934x8477,24-06-2021,New Erin,62,Female,Divorced,TRUE,75000-100000,Cancelled
135,Brittany,Marsh,lisa30@hotmail.com,465-887-6382x4182,12-08-2021,South Georgebury,22,Female,Married,TRUE,50000-75000,Blocked
136,Adrian,Wallace,smithmelanie@williams.com,+1-893-851-9056x925,08-06-2022,Dillonchester,40,Male,Single,TRUE,100000-150000,Blocked
137,Jacob,Jones,briannashah@hotmail.com,6690605953,08-11-2023,Theresashire,58,Female,Single,TRUE,25000-35000,Audit
138,Christopher,Allen,kaitlyn49@simpson-sanchez.com,939-185-1376,30-07-2023,Ashleymouth,34,Male,Married,FALSE,100000-150000,Pending
139,Kristine,Scott,douglas83@craig.com,154-635-9308,04-05-2020,Kellihaven,21,Female,Single,FALSE,75000-100000,Merged
140,Matthew,Howard,raymondrice@yahoo.com,0476794110,01-12-2019,Lake Robert,60,Male,Divorced,TRUE,35000-50000,Merged
141,Betty,Lambert,michaelnorton@tran-pruitt.biz,(485)028-8591x04582,17-05-2020,East Melissafort,54,Male,Single,TRUE,100000-150000,Cancelled
142,Jermaine,Hawkins,jesusmartinez@hotmail.com,(916)056-5155,22-03-2023,Prattville,58,Female,Single,FALSE,75000-100000,Cancelled
143,Mark,Thomas,kchandler@yahoo.com,640.131.1404,29-04-2023,Port Richardland,66,Male,Divorced,TRUE,35000-50000,Pending
144,Linda,Taylor,lhunt@yahoo.com,001-185-368-2325x2742,30-03-2023,Monicahaven,60,Female,Divorced,TRUE,50000-75000,Blocked
145,Michelle,Mcdonald,brookefinley@gmail.com,5035033909,20-10-2021,East James,45,Female,Married,FALSE,25000-35000,Merged
146,Charles,Gomez,jonesgeorge@sims.com,226-107-3877x950,11-01-2024,Jonathonton,24,Female,Single,FALSE,75000-100000,Audit
147,Christine,Flores,stacey34@gmail.com,920.672.6546,18-05-2022,Matthewstad,65,Female,Married,FALSE,100000-150000,Blocked
148,Kayla,Castillo,patrick70@hotmail.com,1626470276,12-12-2019,Williamtown,40,Female,Divorced,TRUE,75000-100000,Blocked
149,Juan,Elliott,cgregory@yahoo.com,-994,19-11-2019,North Nicholas,69,Female,Married,TRUE,25000-35000,Pending
150,Sarah,Clark,reidsherri@yahoo.com,+1-366-018-1472x325,21-09-2022,Williamsborough,28,Female,Married,FALSE,50000-75000,Blocked
151,Douglas,Harmon,garysmith@smith.net,(266)131-0912x02542,21-07-2020,Liubury,39,Female,Married,FALSE,35000-50000,Audit
152,Ashley,Hernandez,steven84@yahoo.com,(709)010-0710,14-09-2019,Wilsonville,26,Female,Divorced,FALSE,35000-50000,Merged
153,Steven,Blankenship,burtonkristin@gibson-davis.net,(913)414-4051x678,13-09-2023,Vasquezfurt,28,Female,Single,FALSE,75000-100000,Audit
154,Monique,Wyatt,cartersean@welch.com,(094)294-4056,10-12-2021,East Robertburgh,48,Female,Divorced,FALSE,50000-75000,Active
155,Donna,Marshall,hornnicholas@hotmail.com,891-016-7819x1727,21-01-2024,Port Stephanie,61,Female,Divorced,FALSE,35000-50000,Audit
156,Anthony,Turner,joe98@gmail.com,001-409-991-9107,06-12-2022,North Nicholas,30,Male,Single,FALSE,35000-50000,Audit
157,Andrew,Kim,robertscott@hotmail.com,001-737-534-9177x044,18-06-2021,South Julia,65,Male,Married,TRUE,35000-50000,Merged
158,Stacey,Gay,thunt@chen.org,(971)108-9670x7074,26-04-2023,North Douglasshire,45,Male,Married,TRUE,100000-150000,Active
159,Kelly,Bailey,melissablack@gmail.com,283-354-5276x9249,21-06-2022,Murillochester,33,Female,Divorced,FALSE,25000-35000,Active
160,Kimberly,Farmer,olewis@carr.com,(291)152-5871,24-09-2021,Carolynland,44,Male,Married,TRUE,25000-35000,Blocked
161,Rita,Hernandez,natalie41@gmail.com,001-516-725-3741x103,21-06-2024,Laurenhaven,29,Female,Married,TRUE,100000-150000,Merged
162,Tammy,George,jacksonbrittany@yahoo.com,001-038-052-5914x518,16-05-2023,Port David,44,Female,Divorced,FALSE,35000-50000,Active
163,Leslie,Drake,hjones@hotmail.com,222-027-5479,13-05-2022,Johnland,20,Female,Single,FALSE,75000-100000,Audit
164,Gina,Johnson,john51@gonzalez.info,001-329-742-4495x15334,13-02-2021,Susanfurt,63,Male,Single,FALSE,50000-75000,Pending
165,Elizabeth,Goodwin,bethanyjones@gmail.com,+1-959-466-6807x181,29-02-2020,Brooksville,34,Female,Divorced,TRUE,75000-100000,Active
166,Kristen,Gardner,perrytimothy@hotmail.com,414-293-2607,23-09-2019,Lawrenceland,34,Female,Divorced,FALSE,75000-100000,Blocked
167,Joseph,Lamb,gary27@morris-jones.biz,(779)194-0199x637,12-04-2024,Johnsonburgh,46,Female,Married,TRUE,75000-100000,Blocked
168,Michelle,Collins,fsimmons@lane.com,+1-693-272-0323x5730,22-10-2023,Scottmouth,32,Male,Married,FALSE,25000-35000,Active
169,Crystal,Barnes,lreid@morse-buchanan.biz,(597)979-1903,07-11-2021,South Richardmouth,26,Female,Single,FALSE,50000-75000,Audit
170,Sarah,Banks,stricklandfred@spencer.com,810.206.3356,22-08-2020,Donnahaven,39,Male,Divorced,TRUE,50000-75000,Merged
171,Kimberly,Oneill,hhogan@walker.com,342-416-0836x89973,23-03-2021,Ashleyport,64,Male,Divorced,TRUE,75000-100000,Merged
172,Devin,Williams,virginia62@yahoo.com,(453)249-5611,31-01-2020,South Christopherton,66,Female,Married,TRUE,100000-150000,Cancelled
173,Patrick,Schultz,erik68@hotmail.com,+1-987-526-0153x09498,23-04-2022,West Michael,46,Male,Single,TRUE,35000-50000,Pending
174,Courtney,Lee,victoria18@harris.com,444-920-9521,26-10-2020,New Debbieville,44,Female,Married,TRUE,25000-35000,Active
175,Gabriel,Oneal,roydeborah@olson-white.info,(936)095-3734x42461,05-11-2020,Brownview,50,Female,Single,TRUE,25000-35000,Merged
176,Stephen,Richardson,aevans@hotmail.com,525.996.2470x15183,13-03-2024,New Fredville,25,Female,Married,FALSE,100000-150000,Active
177,Jason,Sanchez,mariadavila@curry.com,001-914-902-9349x367,31-07-2022,Dodsonmouth,47,Female,Single,FALSE,25000-35000,Cancelled
178,David,Butler,nhaley@yahoo.com,001-340-799-4796x4327,25-05-2022,North Christinaview,63,Male,Single,TRUE,35000-50000,Active
179,Patrick,Jones,christine83@santiago-collins.net,338.505.0503x0599,11-08-2022,Reedmouth,23,Female,Married,FALSE,100000-150000,Blocked
180,Amber,Sanchez,cruzstephanie@cole.com,(595)676-5836x321,06-06-2021,New Johnnyburgh,48,Male,Single,FALSE,25000-35000,Audit
181,Stephanie,Bryant,smithcarmen@trujillo.com,001-731-713-2308,03-11-2023,Curtisbury,56,Male,Married,FALSE,75000-100000,Blocked
182,Amber,Krause,msilva@yahoo.com,(622)593-8629,25-12-2019,Beltranport,53,Male,Married,FALSE,100000-150000,Pending
183,David,Rocha,goodwinjessica@douglas.org,001-049-469-0880x630,10-02-2020,Markhaven,64,Male,Single,TRUE,35000-50000,Merged
184,Brittany,Murillo,dominique01@underwood-tran.com,160.574.1887x28769,20-06-2021,Cynthiahaven,53,Female,Divorced,FALSE,25000-35000,Cancelled
185,Carol,Sullivan,bmorton@johnson.org,2652242230,11-05-2024,Port Markberg,41,Female,Married,FALSE,25000-35000,Merged
186,Stacy,Wright,davidmiller@underwood.info,(029)990-4737,08-04-2022,Josephburgh,56,Male,Married,FALSE,75000-100000,Cancelled
187,Aaron,Galloway,foxtracey@webb-thomas.biz,+1-584-687-7205x57257,03-02-2022,Parkerburgh,24,Male,Single,FALSE,35000-50000,Audit
188,Charles,Clark,dstewart@yahoo.com,642.868.1791x5428,17-07-2022,Wileyfurt,20,Male,Single,TRUE,100000-150000,Active
189,Kenneth,Brady,kristin37@hendricks.com,(541)491-5604x6824,15-12-2022,South Matthew,58,Female,Divorced,FALSE,75000-100000,Audit
190,Gerald,Jacobs,sanchezbryan@gmail.com,624-986-4474,06-11-2020,Armstrongville,64,Male,Single,FALSE,35000-50000,Audit
191,Cynthia,Parker,danielhendricks@hotmail.com,275-479-4721x0208,04-07-2022,Cherylside,40,Female,Single,TRUE,35000-50000,Blocked
192,Patricia,Salinas,jmcclain@owens.org,480.481.9004x612,07-03-2022,Paulstad,60,Female,Single,TRUE,35000-50000,Cancelled
193,Lori,Davis,vwilson@gmail.com,001-290-874-0355,29-12-2022,Stephenshire,20,Male,Married,TRUE,35000-50000,Cancelled
194,Alexander,Brown,cookveronica@gmail.com,879.455.5617x558,14-06-2024,Harrisonview,43,Female,Married,FALSE,35000-50000,Active
195,Kelly,Lopez,nhoover@gmail.com,001-904-175-9939x7873,08-10-2020,Davisstad,66,Male,Divorced,TRUE,50000-75000,Cancelled
